number,colour,lab_angle_deg,area_source_px2,compactness,numerals_inside,nearby_text
,yellow,98,519152,0.433,4,Freight M.Ho. H.R.Offs. PLATFORM.
,yellow,98,293728,0.627,7,KITCHEN. THE PLANT HO.
,yellow,98,61256,0.335,2,Dny TANK.
,yellow,98,62192,0.681,3,Gro. SCOTLAND
321,yellow,98,72192,0.478,7,CENTRAL HO.
420,yellow,98,79672,0.511,3,& Bancry Gro. Grocky Hardw
2½,yellow,98,364656,0.407,9,& Bancry 2 Confec. Barbi's Gro. Grocky Hardw Meat OPERa HO. STAGE Tobacco Vac.
,yellow,98,82744,0.773,0,HHo. HILLSBOROUGH HO.
,yellow,98,82008,0.327,1,Fruit LAFAYETTE OFF
,yellow,98,269816,0.702,1,COMMERCIAL Co. W.Ho. Hides. PIER No.2. TANK.
,yellow,98,62272,0.628,1,ALL AROUND. BUILT. CLAD IRON OFF. Sal.
,yellow,98,51048,0.798,6,Sal TANK
,yellow,98,55536,0.848,0,PIER No.2. TAMPA TANK.
,yellow,98,45792,0.641,2,TANK.
,yellow,98,175768,0.534,1,
,yellow,98,244688,0.676,2,Gen't Storage. Gen't W.Ho
,yellow,98,40744,0.296,3,Creek. Oils Paint Storge TANK.
,yellow,98,260992,0.307,1,"PENCER, HENDERSON MY CO. LIVERY. SPENCER HENDERS TANK."
,yellow,98,69952,0.597,3,SHEDS TANK.
,yellow,98,210600,0.266,0,DOCK.
,yellow,98,163664,0.359,3,Dng Genit S. TANK.
404,yellow,98,245328,0.592,5,2 Vac. Geri t 5. Mach's Storg TANK. Vac.
,yellow,98,623272,0.126,3,DOCK. DOCKS. OFF PIER Nº. RCIAL COMP. TAMPA COMMERCIAL COMP TAMPA WHARF CO. TANK
,yellow,98,408568,0.205,7,HOTEL HOTEL COLLINS. KITCHEN RIMS. TANK THANK. Vac WHITING
,pink,357,468072,0.586,11,ALL AROUND. BEING Banky CLAD IRON OFF. Sal. Vac.
,pink,357,178488,0.722,12,ALL AROUND. BEING BUILT. CLAD IRON Sal. TANK.
,pink,357,106864,0.779,4,Bank Jewelry TANK.
