id,block_number,"streets (side, distance)",lot_numbers
0,,"Tobac. (S, 168px)",
1,3,,1 2 7 18 19 2½ 106 321 418 419 420 421 477 321½
2,2,"LAFAYETTE (S, 111px); MADISON (N, 129px)",0 1 2 10 30 102 103 104 308 309
3,,"PLATFORM. (N, 130px)",1
4,4,"FRANK (SE, 111px); TAMPA STEAM STREET RY. (NW, 112px); TAMPA (SW, 133px); Creek. (S, 144px)",0 1 2 3 4 7 8 12 19 30 108 112 113 116 117 118 119 317 319 411
5,,,2½
6,5,"JACKSON (S, 82px); ASHLEY (W, 87px); TAMPA (E, 112px); LAFAYETTE (N, 114px); TAMPA STEAM STREET RY. (NE, 149px)",0 1 2 15 109 110 219 220 307
7,,"Gen't Storage. (SE, 130px)",2 213
8,,"WOODEN BRIDGE. (E, 114px)",
9,,"WOODEN BRIDGE. (E, 117px); Paint (S, 128px); Storge (SW, 129px); STREET (E, 134px); HAND POWER. (NW, 142px); Oils (S, 143px); BEING (NE, 151px)",
10,,"DOCK. (S, 136px)",2 3 211 9104 9105
11,7,"Creek. (N, 96px); TAMPA STERM S (NE, 105px); STREET (NE, 122px); WOODEN BRIDGE. (NE, 165px)",1 2 12 22 23 25 36 104 105 108 406
12,6,"WASHINGTON (S, 132px); WOODEN BRIDGE. (NE, 156px)",1 12 1½ 2½ 101 102 103 207 210 216 304 305
13,,,210
14,,"DOCKS. (S, 109px); DOCK. (NW, 131px)",1 205 206 207 208 209
15,8,,2 01 18 19 113 114 115 116 117 118 311 312
16,9,"WHITING (S, 84px); WASHINGTON (N, 119px)",0 1 9 16 1½ 2½ 109 110 111 265 301 309
17,,"DOCKS. (N, 73px); OFF (NE, 160px)",0 1
