id,text,x1,y1,x2,y2,src_x1,src_y1,src_x2,src_y2,tile,dup_of,fragment,surya_line,surya_conf,rotation,conflict
571,No 2.,2658,51,2749,83,4964,95,5135,155,r0c4,,,,,0,
561,SHEET,2171,58,2291,89,4054,108,4278,166,r0c3,,,,,0,
558,SEE,1685,63,1752,91,3146,118,3272,171,r0c2,,,,,0,
474,APRIL 1889,2932,104,3079,138,5475,195,5751,258,r0c5,,,,,0,
419,80',1289,124,1336,154,2408,231,2495,287,r0c2,,,,,0,
370,TAMPA,2885,144,3124,196,5388,268,5834,366,r0c5,,,,,0,
365,O.H.,3225,147,3254,161,6023,274,6078,300,r0c5,,,,,0,
417,3,3249,164,3328,270,6068,306,6215,505,r0c5,,,,,0,
235,FLA.,2986,199,3046,223,5577,372,5689,416,r0c5,,,,,0,
289,PLATFORM.,1101,228,1127,402,2057,426,2105,750,r0c1,,,,,0,
312,MADISON,1782,241,2041,288,3329,450,3812,538,r0c3,,,,,0,
126,80',1470,247,1497,298,2746,462,2796,557,r0c2,,,,,0,
137,80',2926,253,2954,308,5465,473,5517,575,r0c5,,,,,0,
310,20.,2857,372,2891,391,5336,696,5399,730,r0c5,,,,,0,
88,15',1543,373,1573,392,2882,697,2938,732,r0c2,,,,,0,
85,19,2618,378,2644,396,4890,706,4938,740,r0c4,,,,,0,
72,18,2429,380,2457,399,4537,710,4588,746,r0c4,,,,,0,
66,17,1895,387,1922,404,3540,723,3590,754,r0c3,,,,,0,
551,16',1750,389,1774,406,3268,727,3314,757,r0c2,,,,,0,
283,Shops.,2865,396,2902,450,5350,740,5421,841,r0c5,,,,,0,
4,2,1432,400,1444,415,2674,747,2697,776,r0c2,,,,,0,
663,P.R.DOCK. TO BE BUILT.,560,408,597,768,1046,762,1115,1434,r0c0,,,,,0,
147,Tobac.,2922,410,2982,428,5458,766,5570,799,r0c5,,,,,0,
13,2,1451,416,1466,435,2710,777,2739,812,r0c2,,,,,0,
31,SO,3100,426,3138,454,5791,796,5861,848,r0c5,,,,,0,
415,80',2201,429,2253,456,4110,802,4208,852,r0c3,,,,,0,
52,x,2976,433,2985,442,5558,809,5576,826,r0c5,,,,,0,
498,1,1170,449,1180,465,2185,839,2204,869,r0c2,,,,,0,
427,1,1194,449,1202,465,2230,839,2245,868,r0c2,,,,,0,
302,THE PLANT HO.,1452,466,1668,495,2712,871,3116,924,r0c2,,,,,0,
104,1/2,2046,488,2068,506,3822,912,3862,945,r0c3,,,,,0,
95,1,2083,488,2093,502,3891,911,3910,938,r0c3,,,,,0,
113,1,1876,498,1885,511,3504,929,3521,955,r0c3,,,,,0,
182,30,2104,508,2121,548,3930,950,3961,1024,r0c3,,,,,0,
313,"6"" W.P.",1264,515,1277,598,2360,962,2385,1117,r0c2,,,,,0,
163,Dny,2028,515,2069,539,3788,961,3864,1007,r0c3,,,,,0,
437,1,1728,517,1738,530,3227,965,3245,990,r0c3,,,,,0,
541,0,1753,517,1765,528,3274,965,3297,987,r0c2,,,,,0,
318,1,1665,533,1673,546,3110,995,3125,1020,r0c2,,,,,0,
361,x,1681,538,1692,548,3139,1004,3161,1024,r0c2,,,,,0,
585,Freight M.Ho.,1145,551,1171,730,2139,1030,2187,1363,r0c2,,,,,0,
672,6',1264,555,1278,596,2360,1037,2386,1114,r1c2,,,,,0,
271,2,2913,568,2925,582,5441,1061,5464,1087,r0c5,,,,,0,
278,2,2887,570,2901,585,5392,1064,5418,1093,r0c5,,,,,0,
354,1,2751,571,2763,588,5138,1067,5161,1097,r0c4,,,,,0,
451,SCOTLAND,2796,578,2915,602,5223,1080,5445,1125,r0c5,,,,,0,
326,TANK.,1984,585,2031,602,3706,1093,3793,1125,r0c3,,,,,0,
595,1,1648,587,1656,602,3077,1097,3093,1124,r1c2,,,,,0,
587,S.F.R.R.DOCK.,562,593,598,854,1050,1108,1117,1595,r1c0,,,,,0,
580,421,2996,596,3013,638,5596,1114,5627,1191,r1c5,,,,,0,
371,HO.,2831,604,2868,624,5287,1129,5356,1166,r0c5,,,,,0,
364,x,1651,611,1659,619,3083,1142,3099,1156,r0c2,,,,,0,
438,x,1190,622,1201,633,2222,1162,2244,1182,r0c2,,,,,0,
547,x,2752,624,2763,633,5141,1166,5161,1183,r1c4,,,,,0,
536,221.,1405,636,1425,679,2624,1189,2661,1269,r1c2,,,,,0,
436,KITCHEN.,1589,636,1655,651,2967,1188,3092,1216,r0c2,,,,,0,
450,1,2326,644,2336,657,4345,1202,4363,1226,r0c4,,,,,0,
473,2½,2358,644,2382,664,4403,1203,4449,1239,r0c4,,,,,0,
449,x,2916,645,2927,656,5446,1205,5467,1225,r0c5,,,,,0,
452,x,2890,646,2901,657,5398,1206,5418,1226,r0c5,,,,,0,
480,x,1648,657,1659,667,3079,1228,3099,1246,r0c2,,,,,0,
470,CENTRAL HO.,2355,661,2491,682,4399,1235,4653,1273,r1c4,,,,,0,
506,1,2326,662,2336,676,4345,1236,4363,1262,r0c4,,,,,0,
633,No4.,3315,663,3351,757,6191,1238,6258,1414,r0c5,,,,,0,
667,C2,2356,664,2379,684,4400,1239,4443,1277,r0c3,,,,,0,
431,321,2332,674,2348,710,4355,1259,4385,1326,r1c4,,,,,0,
399,1,2546,687,2553,701,4755,1283,4768,1309,r1c4,,,,,0,
393,1,2494,689,2504,705,4659,1288,4677,1316,r1c4,,,,,0,
372,3,2681,699,2722,743,5007,1306,5083,1388,r1c4,,,,,0,
355,309,2105,708,2123,754,3931,1322,3966,1408,r1c3,,,,,0,
350,321½,2596,709,2643,725,4848,1323,4936,1355,r1c4,,,,,0,
341,x,1450,715,1461,725,2709,1335,2729,1355,r1c2,,,,,0,
579,10,1427,716,1440,727,2666,1337,2689,1357,r0c2,,,,,0,
356,2,1763,716,1804,759,3293,1338,3369,1418,r1c3,,,,,0,
