id,block_number,"streets (side, distance)",lot_numbers
0,,"ssed (NW, 71px); Proposed (NW, 102px); Viaduct (NW, 130px)",
1,1,"FRI (SE, 0px); n Pacific Railway (NE, 10px); DISTRICT (SE, 21px); BRISBERRY BLACK (SW, 24px); Alexander (SE, 28px); inol (SE, 30px); Original Water Line (SE, 38px); REP. (SE, 42px); CORDOVA ST. WEST (W, 43px); ST.WEST (W, 47px); WATER ST. (SE, 47px); DAT. (SE, 48px); OFTICAL (SE, 51px); OFFICIAL (SE, 53px); 219,915)Water Line (SE, 54px); OLD GRANVILLE TOWN (S, 62px); Plan No 210 (SE, 70px); McClary (SW, 73px); Budweiser (SW, 80px); Burward (SW, 87px); Company (SW, 89px); Station & Offices. (W, 95px); Building (SW, 102px); Hotel (SW, 104px); IBIE ST. (S, 105px); CAMBIE (S, 107px); Grain Shed (NE, 120px); Stimons Wharf (E, 145px); BRON (S, 145px); Proposed (NW, 146px); Stinson's Wharf. (E, 147px); Griffin Brooke (SW, 148px); Huckay Smi (S, 148px); Freight Shed (N, 149px); DISTRICT LOT 541 (S, 159px); Mercoritise (SW, 159px); Grand (SE, 169px)",1 2 3 4 5 6 7 8 9 10 11 12 66 95 210
2,,,
3,,"Union SS Cos Wharf. (S, 86px); Union S.S.Cbs Wharf (S, 89px)",
4,,"Raiway (S, 148px); n Pacific Railway (SW, 149px); tway (SE, 153px)",
5,14,"SEYMOUR ST. (SE, 51px); GRANVILLE ST. (NW, 59px); CORDOVA ST. WEST (E, 92px); Clarke & Stewart (SE, 160px); Molsons (SE, 162px)",2 3 4 6 16 17 18 19 100
6,,"RICHARDS ST. (SE, 51px); ST.WEST (N, 56px); REF (E, 64px); SEYMOUR ST. (NW, 69px); CORDOVA ST. WEST (N, 91px); HASTINGS ST. WEST (S, 118px); Hotel (NW, 139px); St.Pancis (NW, 164px)",3 6 7 8 9
7,,"Stimons Wharf (NW, 31px); Stinson's Wharf. (NW, 33px); Union S.S.Cbs Wharf (E, 52px); Union SS Cos Wharf. (E, 55px)",
8,,"FRI (NW, 4px); Loray Post (W, 56px); OLD GRANVILLE TOWN (SE, 98px); Johnston Bros. (W, 160px)",
9,12,"HOMER ST. (SE, 52px); RICHARDS ST. (NW, 53px); B.C. Electric Ry Co (NE, 57px); HASTINGS ST. WEST (W, 79px); Mercoritise (SE, 136px); BANK (NW, 140px); Buildings (SE, 157px)",8 10 16 17 18 20
10,10,"FRI (E, 1px); LOT SAL (SE, 10px); DISTRICT LOT 541 (E, 42px); B.C. Electric Ry Co (W, 44px); TOWNISITE (SE, 54px); TOMNSITE (SE, 68px); BRISBERRY BLACK (S, 75px); OLD GRANVILLE TOWN (E, 97px); TOMINSITE (SE, 108px); Burward (W, 149px); Company (NE, 161px); Building (SW, 165px); Huckay Smi (E, 165px); Hotel (SW, 168px)",7 8 9 10 11 12 13 20
11,,"FRI (N, 1px); TOMINSITE (NW, 5px); TOMNSITE (NW, 34px); TOWNISITE (NW, 49px); Ref. (SW, 49px); REP. (N, 54px); WATER ST. (NE, 58px); ABBOTT (E, 60px); DISTRICT LOT 541 (NW, 62px); CAMBIE (W, 64px); IBIE ST. (W, 73px); OLD GRANVILLE TOWN (NW, 88px); LOT SAL (NW, 96px); DISTRICT (E, 96px); WATER (NE, 100px); CORDOVA ST.WEST (SE, 124px); inol (E, 137px); CORDOVA ST. WEST (SE, 145px); HOTEL (E, 150px); DAT. (NE, 163px)",3 4 5 6 9 10 11 12 13 14 15 16 157 212
12,4,"BLM. (SE, 3px); MAHON BLK (W, 6px); Dominion (W, 13px); Trusts Bldg. (W, 14px); OFFICIAL (E, 52px); IBIE ST. (N, 59px); HOMER ST. (NW, 63px); WARDS (E, 69px); Cordova. (NE, 73px); BRISBERRY BLACK (NW, 95px); Hotel (NE, 107px); Homer (NW, 137px); Jones Building (NW, 151px); CAMBIE (N, 157px); Theatre (NE, 160px); Nagle (E, 163px); Burward (NW, 166px); Building (NW, 167px); Hotel. (E, 168px)",5 10 12 13 14 41 79 102 218
13,2,"Plan No 210 (N, 34px); CORDOVA ST. WEST (SW, 42px); ABBOTT (NW, 44px); CORDOVA ST.WEST (SW, 45px); 219,915)Water Line (NW, 52px); Original Water Line (NW, 62px); WALLER BLK (S, 83px); FRI (NW, 87px); inol (NW, 95px); DISTRICT (NW, 144px); Hotel (NW, 147px); Winters (NW, 151px); Crenne (S, 152px)",2 3 4 8 9 12 15 66 205
14,3,"WALLER BLK (NE, 21px); WARDS (W, 36px); CORDOVA ST.WEST (NW, 56px); HASTINGS ST. WEST (W, 60px); OFFICIAL (NW, 61px); CORDOVA ST. WEST (NW, 64px); Departmental (W, 138px); Hotel (NE, 141px); Russ (NE, 167px)",2 3 4 6 7 8 9 10 12 14 15 16 1199
