id,text,x1,y1,x2,y2,src_x1,src_y1,src_x2,src_y2,tile,dup_of,fragment,surya_line,surya_conf,rotation,conflict
2261,Proposed Wharf.,2168,750,2480,1108,2168,750,2480,1108,r0c2@30,,,,,30,
134,B,2162,863,2294,942,2162,863,2294,942,r0c1,,,,,0,
257,U,2378,940,2464,992,2378,940,2464,992,r0c1,,,,,0,
169,R,2529,998,2637,1068,2529,998,2637,1068,r0c2,,,,,0,
111,R,2693,1072,2804,1141,2693,1072,2804,1141,r0c2,,,,,0,
174,A,2859,1169,2968,1236,2859,1169,2968,1236,r0c2,,,,,0,
228,R,3051,1272,3148,1341,3051,1272,3148,1341,r1c2,,,,,0,
217,Viaduct,1681,1290,1796,1382,1681,1290,1796,1382,r1c1,,,,,0,
425,Proposed Wharf.,2618,1359,2892,1536,2618,1359,2892,1536,r0c2,,,,,0,
146,D,3220,1384,3302,1444,3220,1384,3302,1444,r1c2,,,,,0,
2004,ssed,1534,1385,1616,1477,1534,1385,1616,1477,r0c1@30,,,,,30,
150,Proposed,1449,1401,1607,1519,1449,1401,1607,1519,r1c1,,,,,0,
588,Freight Shed,1776,1530,1998,1690,1776,1530,1998,1690,r1c1@30,,,,,30,
1517,INLET,3559,1591,4146,2426,3559,1591,4146,2426,r1c3@60,,,,,60,
40,No3,1830,1602,1902,1651,1830,1602,1902,1651,r1c1,,,,,0,
2266,Proposed Wharf.,3229,1647,3512,1972,3229,1647,3512,1972,r1c3@30,,,,,30,
2180,a d i a n p a,1768,1758,2572,2568,1768,1758,2572,2568,r1c1@60,,,,,60,
1983,Original Water Line as on Plan,1177,1771,1595,2072,1177,1771,1595,2072,r1c1@30,,,,,30,
135,Station & Offices.,903,1799,1181,1980,903,1799,1181,1980,r1c0,,,,,0,
129,V,3703,1814,3814,1885,3703,1814,3814,1885,r1c3,,,,,0,
84,C.P.R.,997,1823,1086,1895,997,1823,1086,1895,r1c0,,,,,0,
1170,Freight Shed,2455,1837,2644,1973,2455,1837,2644,1973,r1c2@30,,,,,30,
2249,Line os on P,1382,1883,1560,2005,1382,1883,1560,2005,r1c0@30,,,,,30,
344,No4,2495,1894,2569,1948,2495,1894,2569,1948,r1c1,,,,,0,
2267,D.L.541,1157,1933,1795,2717,1157,1933,1795,2717,r1c1@60,,,,,60,
2268,ian pacific,2022,1940,2953,2593,2022,1940,2953,2593,r1c2@30,,,,,30,
139,Cordovia,1463,1958,1756,2107,1463,1958,1756,2107,r1c1,,,,,0,
