sdl_id,lat,lon,tiff_url,ecw_url
MAP342a_02S,49.21019,-123.162,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_02S.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_02S.ecw
MAP342a_02W,49.25169,-123.22873,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_02W.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_02W.ecw
MAP342a_03,49.28864,-123.11626,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_03.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_03.ecw
MAP342a_04,49.2846,-123.10787,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_04.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_04.ecw
MAP342a_05,49.2904,-123.12601,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_05.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_05.ecw
MAP342a_06,49.28517,-123.11811,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_06.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_06.ecw
MAP342a_07,49.28021,-123.10974,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_07.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_07.ecw
MAP342a_08,49.29226,-123.13578,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_08.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_08.ecw
MAP342a_09,49.28879,-123.14056,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_09.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_09.ecw
MAP342a_10,49.28663,-123.12931,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_10.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_10.ecw
MAP342a_11,49.28351,-123.13381,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_11.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_11.ecw
MAP342a_12,49.28157,-123.12116,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_12.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_12.ecw
MAP342a_13,49.27835,-123.12636,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_13.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_13.ecw
MAP342a_14,49.27645,-123.11365,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_14.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_14.ecw
MAP342a_15_a,49.27317,-123.11869,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_15_a.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_15_a.ecw
MAP342a_15_b,49.27933,-123.10603,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_15_b.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_15_b.ecw
MAP342a_16,49.28358,-123.14101,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_16.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_16.ecw
MAP342a_17,49.27915,-123.13598,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_17.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_17.ecw
MAP342a_18,49.2738,-123.1293,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_18.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_18.ecw
MAP342a_19,49.27274,-123.14641,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_19.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_19.ecw
MAP342a_20,49.27151,-123.20381,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_20.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_20.ecw
MAP342a_21,49.26256,-123.20427,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_21.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_21.ecw
MAP342a_22,49.26816,-123.18343,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_22.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_22.ecw
MAP342a_23,49.26945,-123.1606,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_23.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_23.ecw
MAP342a_24,49.25859,-123.18429,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_24.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_24.ecw
MAP342a_25,49.26012,-123.16112,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_25.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_25.ecw
MAP342a_26,49.26441,-123.138,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_26.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_26.ecw
MAP342a_27,49.26771,-123.11562,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_27.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_27.ecw
MAP342a_28,49.25534,-123.13833,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_28.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_28.ecw
MAP342a_29,49.25867,-123.116,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_29.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_29.ecw
MAP342a_30,49.24899,-123.18471,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_30.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_30.ecw
MAP342a_31,49.25074,-123.1616,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_31.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_31.ecw
MAP342a_32,49.23953,-123.18479,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_32.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_32.ecw
MAP342a_33,49.2413,-123.16161,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_33.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_33.ecw
MAP342a_34,49.24668,-123.13902,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_34.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_34.ecw
MAP342a_35,49.24939,-123.11613,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_35.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_35.ecw
MAP342a_36,49.23715,-123.13935,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_36.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_36.ecw
MAP342a_37,49.23911,-123.11662,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_37.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_37.ecw
MAP342a_38,49.23015,-123.18485,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_38.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_38.ecw
MAP342a_39,49.23183,-123.16195,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_39.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_39.ecw
MAP342a_40,49.22075,-123.18435,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_40.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_40.ecw
MAP342a_41,49.22232,-123.16167,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_41.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_41.ecw
MAP342a_42,49.22748,-123.13956,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_42.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_42.ecw
MAP342a_43,49.23016,-123.11692,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_43.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_43.ecw
MAP342a_44,49.21834,-123.13973,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_44.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_44.ecw
MAP342a_45,49.22057,-123.11755,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_45.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_45.ecw
