OBJECTID,LifeCycleS,Shape.STLe,TRANSPORT_,TRANSPOR_1,TRAVEL_DIR,SPEED_LIMI,TOTAL_NUMB,DISASTER_R,TRUCK_ROUT,LEFT_LOCAL,RIGHT_LOCA,STRUCTURED,STRUCTUR_1,HIGHWAY_RO,HIGHWAY__1,SINGLE_HOU,FROM_LEFT_,TO_LEFT_HO,FROM_RIGHT,TO_RIGHT_H,ACCESS_RES,FROM_VEHIC,TO_VEHICLE,last_edite,AZIMUTH
16897,ACT,223.555405077223071,1878288,RLN,B,"40","2",N,N,Sooke,Sooke,38138,access road,,,,,,,,N,,,2024/11/18 21:50:32.000,326.722
16030,ACT,70.542188785506227,826175,RLN,B,"50","2",N,N,Salt Spring Island,Salt Spring Island,32153,Alders Ave,,,,123,123,,,N,,,2024/11/18 21:50:32.000,75.016
13851,ACT,220.408851611839737,451352,RLN,B,"30","2",N,N,Victoria,Victoria,59235,Bakery Mews,,,,2600,2698,2601,2699,N,,,2024/11/18 21:50:32.000,349.415
17317,ACT,62.005471523890542,1904100,RLN,B,"40","2",N,N,Galiano Island,Galiano Island,63342,Beau Vista Lane,,,,62,64,51,53,R,,,2024/11/18 21:50:32.000,33.704
17318,ACT,71.905253544157233,1904105,RLN,B,"50","2",N,N,Galiano Island,Galiano Island,63342,Beau Vista Lane,,,,,,,,R,,,2024/11/18 21:50:32.000,298.355
18455,ACT,366.001606281378884,1976616,RLN,B,"50","2",N,N,Galiano Island,Galiano Island,63342,Beau Vista Lane,,,,,,,,R,,,2024/11/18 21:50:32.000,312.511
18456,ACT,85.282174752054729,1976617,RLN,B,"40","2",N,N,Galiano Island,Galiano Island,63342,Beau Vista Lane,,,,375,375,,,R,,,2024/11/18 21:50:32.000,299.771
18457,ACT,173.213291549398861,1976618,RLN,B,"40","2",N,N,Galiano Island,Galiano Island,63342,Beau Vista Lane,,,,,,,,R,,,2024/11/18 21:50:32.000,355.285
18458,ACT,259.483215664727084,1976619,RLN,B,"50","2",N,N,Galiano Island,Galiano Island,63342,Beau Vista Lane,,,,,,,,R,,,2024/11/18 21:50:32.000,308.413
15906,ACT,14.969981806936174,598299,RLN,B,"50","2",N,N,Saturna Island,Saturna Island,1476,Benson Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,12.120
